zip,pv_capacity_ac,pv_system_count
90001,1085.8612344,171
90002,671.0821025,139
90004,28.275,1
90008,225.6696235,36
90011,17.740000000000002,2
90012,292.819,1
90015,25.28,1
90017,9.52,1
90020,5.72,1
90021,4.725,1
90022,2503.9073975,300
90023,574.98308,60
90024,20.1,1
90025,1887.34893,9
90036,12.47,2
90038,125.188367,2
90040,7450.093723399999,157
90043,2259.9794681,345
90044,1029.2593142,177
90045,831.8100000000001,3
90046,284.4157021,34
90047,2516.9646223,297
90048,197.02800025,28
90049,4.845,1
90056,2721.9462024,333
90059,1281.504991,236
90060,3.975,1
90061,2249.2561141,175
90062,8.64,2
90063,3784.2585142,260
90066,567.2804692,97
90069,475.530612,39
90073,136.63266,1
90074,3.84,1
90201,2861.1601322,400
90210,3355.3942173,213
90211,554.7931432,65
90212,792.3594163,67
90220,4309.685272,513
90221,5410.4532596,533
90222,2447.7578206,384
90230,3330.5799031,413
90232,3444.2493682,417
90240,5304.9779271,707
90241,8446.3113016,822
90242,6332.3870691,724
90245,5543.8217088,419
90247,2787.6491726,498
90248,2616.1749585,168
90249,4614.7894246,747
90250,9485.7605166,1036
90251,11.25,3
90254,3140.6921316,402
90255,3791.8336336,374
90260,1403.8216334,263
90261,5.3,1
90262,3987.8465544,707
90263,12.35,2
90265,6931.7503006,622
90266,9657.1666127,1083
90270,1357.2991215,120
90272,10.25,1
90274,8572.7106024,861
90275,12283.6908619,1476
90277,4890.2473587,653
90278,5962.8306111,903
90280,5050.1965511,726
90290,2468.9826247,294
90291,12.25,2
90292,112.85,1
90301,1423.6202651,283
90302,1367.1484341,194
90303,1438.6413452,242
90304,3308.0476807,167
90305,1834.0716066,306
90401,1053.364021,23
90402,2638.9183717,316
90403,1359.6910438,158
90404,2097.5169752,116
90405,3959.5512257,504
90407,11.06,1
90409,9.6,1
90501,6415.810256,439
90502,1848.2676462,298
90503,5191.8473567,758
90504,4153.9898607000005,714
90505,7844.6525432,874
90601,7758.2888886,831
90602,4353.2420412,823
90603,6942.5774165,825
90604,7728.9633567,1177
90605,6884.0405096,994
90606,4685.4130764,677
90608,8.9,2
90610,4.77,1
90620,16092.928044100001,2005
90621,8010.1014241,1107
90622,13.41,2
90623,5144.0165755,663
90630,13026.2544796,1873
90631,19623.94794296,2232
90637,141.7,1
90638,12978.4354595,1686
90640,11471.6890763,1175
90650,13064.658643499999,2103
90660,10708.2749554,1261
90670,7103.6100303,401
90680,4156.140533,721
90701,3153.4530974,361
90702,18.795,2
90703,19040.4177088,1786
90704,132.68602049999998,19
90706,7876.33918476,1321
90710,885.0776281,140
90712,8936.8764624,1163
90713,7144.6297702,1093
90715,3842.2254522,457
90716,2196.0460815,102
90717,1836.5872734,276
90720,9697.55012194,1127
90723,6086.7117427,418
90731,118.9068638,23
90732,53.309,8
90740,6425.0978953,656
90742,63.558,9
90743,59.2055103,11
90745,6513.8473809,975
90746,8386.6679091,1103
90747,1188.27,1
90755,3080.6345267,266
90802,4356.2496568,107
90803,4760.3437153,636
90804,1816.5276948,258
90805,11100.4649711,1491
90806,9802.051618899999,626
90807,8470.0752891,1076
90808,18916.9791128,2178
90810,8152.4128499,647
90813,2124.3044894,195
90814,2825.5915274,362
90815,15473.9632054,1736
90822,402.515,1
90840,28.35,1
91001,11746.23950047,1591
91006,13090.8127221,1409
91007,7745.382741,886
91008,936.733693,79
91010,5691.3237051,573
91011,9816.5419149,1041
91016,8803.08614516,1110
91020,394.2465303,57
91024,4796.1481798,498
91030,6052.1367414,716
91031,11.56,1
91042,32.955,3
91066,29.075,4
91101,21.020409,1
91104,1179.5243478,177
91106,17.42,1
91107,3289.2324276,363
91108,3648.6082771,377
91109,1217.92,1
91204,25.509999999999998,4
91214,4423.1364074,554
91301,12902.9569075,1304
91302,13813.8512762,1074
91304,766.5709384999999,14
91305,93.863,2
91306,13.365,1
91307,1945.2926197,162
91308,2.5,1
91310,30.3551022,3
91311,3321.9505233,299
91319,25.6,2
91320,19402.1838934,2408
91321,10682.0557147,1162
91326,14.285,2
91328,7.29,1
91335,7.92,1
91340,4407.9375735,497
91341,5.28,1
91342,372.8946643,57
91350,28190.69793,4195
91351,16007.1897586,1698
91352,11.225000000000001,2
91354,17935.8355967,2536
91355,14034.112469,1450
91356,11.235,2
91359,11.52,1
91360,17936.8430039,2352
91361,9272.07481776,809
91362,17012.435693,1611
91364,222.84207750000002,19
91367,62.8235715,4
91376,3.42,1
91377,6726.1680868,636
91380,22.755000000000003,2
91381,15515.6863639,2523
91383,494.7,1
91384,13198.3201302,1710
91386,7.505,1
91387,20277.4013371,2634
91390,13025.36773274,1469
91392,11.89188,1
91406,25.307000000000002,4
91411,13.635,2
91606,4.0,1
91608,694.9772,1
91701,19477.6423529,2138
91702,1653.3981673,253
91706,12553.7543219,1241
91708,12199.3411933,2463
91709,33754.3200958,3686
91710,40891.4133523,3982
91711,17854.7123272,1848
91714,7.43935,1
91715,767.6,1
91716,26.15,2
91722,8416.2036372,1225
91723,5101.6792176,681
91724,9234.6732591,1160
91729,94.6621431,13
91730,23763.32109986,1985
91731,3249.2944836,271
91732,4575.5303308,574
91733,4469.535767,569
91737,18607.810574,1434
91739,24980.0744205,2713
91740,6939.45592582,859
91741,14253.90096812,1468
91744,13952.2924982,1729
91745,18824.8333047,1884
91746,8499.3262398,654
91747,8.28,1
91748,14283.59888606,1376
91750,17902.3485086,1600
91752,21729.3814309,2765
91754,5979.5619779,650
91755,3914.468211,488
91756,19.200000000000003,2
91758,6.38,1
91759,42.7267347,5
91761,38258.329092,5537
91762,28652.8109474,3576
91763,8914.979651399999,993
91764,15356.9155594,1345
91765,16813.053802,2043
91766,12532.8855058,1788
91767,9912.8596732,1322
91768,7008.8553063,857
91769,40.211,6
91770,8207.6316202,905
91771,9.18,1
91772,13.86,2
91773,14950.608161,1278
91775,4936.1790657,697
91776,4173.6865808,479
91778,23.78,4
91780,5806.0859728,918
91784,16841.1607389,2051
91785,2.72,1
91786,13779.27239,1830
91789,21123.3676387,2193
91790,15369.392979799999,1616
91791,15944.2452423,1659
91792,5039.0973593,713
91793,63.55375,8
91797,2.8,1
91801,5445.0083026,519
91803,3983.6520993,439
91901,383.04,51
91902,113.166,24
91905,22.23,5
91906,7.869999999999999,3
91910,1008.018,42
91911,755.896,48
91913,359.92150000000004,135
91914,106.882,34
91915,178.767,10
91916,10.46,3
91917,12.48,3
91932,100.511,24
91934,12.75,3
91935,215.53900000000002,37
91941,127.387,30
91942,541.9995,26
91945,122.269,28
91950,92.235,21
91962,14.629999999999999,4
91963,12.977,2
91977,155.467,44
91978,56.376000000000005,7
91980,24.839999999999996,2
92003,194.595,6
92004,543.081,16
92007,52.336,14
92008,117.0565,27
92009,226.382,42
92010,212.706,15
92011,218.96,20
92014,98.759,19
92019,256.682,52
92020,505.0645,56
92021,361.9125,79
92022,10.204082,1
92023,29.7,2
92024,279.9635,59
92025,370.578,40
92026,232.979,50
92027,255.766,52
92028,2779.5029999999997,119
92029,149.806,26
92036,131.084,32
92037,522.5505,42
92040,415.196,85
92054,171.255,22
92056,124.161,31
92057,240.7475,47
92058,54.63,13
92059,49.809999999999995,7
92060,1.8,1
92061,100.385,11
92064,354.574,61
92065,808.881,139
92066,9.1,2
92067,599.997,29
92069,715.4275,33
92070,11.34,1
92071,568.5585,62
92074,175.56,4
92075,89.887,17
92078,414.5545,152
92081,319.9075,28
92082,1436.6645,56
92083,71.97200000000001,11
92084,178.125,32
92086,38.69,8
92091,13.01,3
92101,350.774,13
92102,58.802,31
92103,287.923,16
92104,180.66,24
92105,278.545,31
92106,146.704,18
92107,82.8175,22
92108,576.54,33
92109,368.204,163
92110,1142.296,17
92111,149.971,29
92113,690.425,46
92114,121.675,43
92115,457.832,39
92116,71.28999999999999,15
92117,333.2435,72
92118,159.397,15
92119,96.648,28
92120,251.22750000000002,203
92121,136.3,8
92122,143.926,18
92123,248.013,23
92124,199.635,23
92126,939.028,191
92127,779.957,154
92128,222.4835,37
92129,319.62,59
92130,970.4304999999999,125
92131,504.197,117
92139,15.248,6
92154,320.68899999999996,34
92160,11.2,1
92173,15.282,5
92201,22.05,2
92210,22471.1936089,1556
92211,32370.7535678,3103
92220,1543.752835,93
92222,22.055,2
92223,51466.8934491,7851
92225,9271.7808933,958
92226,24.0,3
92227,9.6,1
92230,4354.3052268,93
92231,11.17,1
92232,8.1,1
92233,16.48,2
92234,49603.8965433,5209
92235,13.0,2
92236,129.86647,22
92239,263.6539796,20
92240,27842.7126295,3435
92241,4703.0685496,223
92251,7.04,1
92252,7442.3373986,976
92253,23.286,3
92255,26.525,2
92256,2149.2991713,284
92257,26.565,4
92258,106.29857100000001,12
92260,40465.3954173,3638
92262,44019.5735383,4349
92263,19.29,3
92264,27820.0659714,2594
92266,169.8305914,22
92267,196.38,7
92268,505.5330814,70
92270,49276.4346416,4359
92277,13750.327631,1695
92280,32.72,5
92281,10.82,2
92282,804.081671,95
92283,13.91,2
92284,19469.9068732,2491
92285,1209.3832745,161
92286,43.645,11
92292,25.695,3
92301,20237.01602836,2580
92305,36.823,3
92307,30161.8799704,3707
92308,26648.6507818,3329
92309,601.6642843999999,12
92310,17.89,3
92311,17551.3374656,1699
92312,14.165000000000001,2
92313,7757.8731296,717
92315,19.16,2
92316,8718.4724499,935
92317,9.4,2
92318,232.6657957,64
92320,9685.1292412,1475
92321,42.175,6
92322,97.513,15
92323,4.905,1
92324,2694.4237907,226
92325,783.1859387,120
92326,3.0,1
92327,86.895,11
92328,2274.9734731,32
92329,4.505,1
92331,5.155,1
92332,14.495000000000001,2
92333,4.4,1
92334,59.47,9
92335,32845.5929956,2721
92336,69005.8780296,10168
92337,21370.6371182,1819
92338,11.625,1
92339,102.94,16
92340,219.24,21
92341,49.3867348,9
92342,6245.1955756,818
92344,14211.0222488,1729
92345,44564.39823797,5586
92346,27713.0978238,3406
92347,1002.1258795,26
92350,11.306000000000001,3
92352,1143.9760334,169
