zip,pv_capacity_ac,pv_capacity_residential_ac,pv_count_residential_ac,pv_capacity_residential_ac_under10,pv_count_residential_ac_under10
90001,1793.251,888.944,182,739.612,176
90002,695.2,695.2,169,672.109,167
90004,25.197,0.0,0,0.0,0
90008,331.823,331.823,51,243.867,44
90011,15.834,15.834,2,15.834,2
90012,684.319,0.0,0,0.0,0
90013,4.364,4.364,1,4.364,1
90015,23.386,23.386,1,0.0,0
90017,8.263,8.263,1,8.263,1
90020,5.202,5.202,1,5.202,1
90021,6.748,6.748,2,6.748,2
90022,3906.714,1633.366,370,1553.457,363
90023,607.59,320.099,77,298.309,75
90024,18.038,18.038,1,0.0,0
90025,2225.18,59.062,12,34.67,11
90032,60.578,0.0,0,0.0,0
90036,11.362,11.362,2,11.362,2
90038,114.774,0.0,0,0.0,0
90040,10483.58,633.528,137,610.53,135
90042,3.937,3.937,1,3.937,1
90043,2421.165,2359.236,411,2058.063,385
90044,1033.351,843.248,192,820.219,190
90045,801.835,0.0,0,0.0,0
90046,444.361,209.864,44,185.19299999999998,42
90047,2626.056,1475.925,330,1454.235,328
90048,230.09,188.624,36,153.828,33
90049,4.288,4.288,1,4.288,1
90056,3292.264336,3253.364336,447,2225.889,367
90059,1362.87503,1245.67603,294,1189.99603,289
90060,12.159,12.159,2,12.159,2
90061,2530.496,873.407,184,799.144,178
90062,7.781,7.781,2,7.781,2
90063,3705.0260000000003,1427.129,316,1350.473,309
90066,636.527,519.431,112,508.26,111
90069,639.36,213.379,43,191.285,42
90073,133.9,0.0,0,0.0,0
90074,3.426,3.426,1,3.426,1
90201,4356.921,2009.097,424,1905.217,415
90210,5004.038,3933.054,309,1063.633,152
90211,821.74,508.533,83,423.39,76
90212,952.585,623.638,89,409.0,73
90220,5614.15091,2644.44191,611,2517.15117,600
90221,5536.168,2835.704,607,2624.2,593
90222,2673.457,1875.518,442,1807.24,436
90230,4653.648792,2828.118792,556,2639.642792,540
90232,3984.986,2766.785,521,2430.749,497
90240,5850.908,5643.445,861,4209.535,751
90241,8775.99158,6036.57258,942,4611.0553,829
90242,6673.579,4637.402,816,4016.464,765
90245,7541.116,3144.539,521,2485.841,477
90247,2830.542,2083.143,553,1986.489,544
90248,4263.241,603.519,226,591.1659999999999,225
90249,5617.122,3536.074,853,3364.308,839
90250,12821.415,5460.423,1141,5141.224,1119
90251,10.233,10.233,3,10.233,3
90254,3838.764663,2918.136663,519,2433.222,481
90255,4117.524,1905.516,395,1840.098,389
90260,1499.798,1362.743,296,1266.834,292
90261,4.573,4.573,1,4.573,1
90262,6565.896,4124.491,875,3769.825,846
90263,11.237,8.827,1,8.827,1
90265,9500.765,8938.419,939,3904.982,640
90266,12394.055,9899.663,1550,7411.276,1362
90270,2234.546,633.707,130,610.22,128
90272,9.672,9.672,1,9.672,1
90274,10516.2184,10114.0544,1182,5435.2124,847
