ZipCode,CAAGI,Population,CAAGI_per_capita
90001,696750180,55859,12473.373672998085
90002,630708625,53150,11866.578080903104
90003,809278806,72764,11121.966989170469
90004,2228311772,58585,38035.53421524281
90005,911017318,37987,23982.344433622027
90006,719077321,58229,12349.12708444246
90007,408940763,40944,9987.806833724111
90008,827470584,33041,25043.751218183468
90010,715151927,5400,132435.54203703703
90011,1140224464,102308,11145.017633029674
90012,722404144,33851,21340.703199314645
90013,448846410,15589,28792.50817884406
90014,287658266,9254,31084.748865355523
90015,816948103,27324,29898.554494217537
90016,1085062284,46512,23328.652476780186
90017,701222162,27295,25690.498699395495
90018,925190787,50179,18437.8083859782
90019,1713532023,62002,27636.721767039773
90020,1285442627,38694,33220.72225668062
90021,205875299,5192,39652.407357473036
90022,1089220322,64517,16882.68707472449
90023,609804769,45939,13274.228193909314
90024,4609050675,52862,87190.24393704362
90025,4736635631,45466,104179.73058989135
90026,1881346259,63329,29707.49986578029
90027,2195603077,44471,49371.569719592546
90028,788067254,32330,24375.72700278379
90029,669739229,34695,19303.62383628765
90031,703946744,37333,18855.884713256368
90032,928241969,43506,21335.952949018527
90033,595512734,46081,12923.17297801697
90034,2541968010,57152,44477.32380319149
90035,1627552754,30294,53725.25100680003
90036,2370654551,39549,59942.21221775519
90037,724740229,63706,11376.326076036794
90038,654197618,27414,23863.632377617276
90039,1338457056,28059,47701.52378915856
90040,454192779,12089,37570.74853172305
90041,1026201120,26654,38500.82989419974
90042,1630980546,58295,27978.052079938247
90043,1158498730,46179,25087.13332900236
90044,1150238943,94354,12190.674936939611
90045,2325083906,41035,56660.99441939808
90046,2910954566,49987,58234.2322203773
90047,996426201,50154,19867.332635482715
90048,1615476546,22604,71468.61378517076
90049,7313810071,36980,197777.44918875067
90056,499533197,8184,61037.78066959922
90057,473539612,45510,10405.177147879587
90058,353138348,3751,94145.12076779525
90059,554857953,43551,12740.418199352483
90061,390878107,29570,13218.738823131553
90062,528265270,32524,16242.321670151274
90063,790539951,50227,15739.342405479125
90064,3630986334,27553,131781.8870540413
90065,1443909915,44328,32573.315173253926
90066,3296490269,55304,59606.724088673516
90067,3246211252,3344,970756.9533492823
90068,1575368643,24361,64667.6508764008
90069,3624685830,20584,176092.3936066848
90071,238969031,907,263471.91951488424
90073,925182,936,988.4423076923077
90077,2036943628,8874,229540.63871985575
90079,1430691,16,89418.1875
90089,8540232,5172,1651.2436194895593
90094,984297607,12746,77224.03946336106
90095,4268312,1,4268312.0
90201,1356226103,95810,14155.371078175556
90210,5691636982,21134,269311.86628182075
90211,1577643556,8260,190998.00920096852
90212,2572676764,11451,224668.30530084707
90220,846408669,50412,16789.82522018567
90221,789574304,52561,15022.056353570137
90222,462109787,32397,14263.96848473624
90230,1683747199,32743,51423.11941483676
90232,1015377280,16452,61717.558959397036
90240,866843605,26495,32717.252500471786
90241,1168688974,44921,26016.539569466397
90242,982745860,42939,22887.022520319522
90245,1402726807,17272,81213.91888605837
90247,1054517886,48543,21723.376923552314
90248,358219851,11295,31714.90491367862
90249,694085337,27125,25588.399520737326
90250,2200109720,97653,22529.87332698432
90254,2407979860,19736,122009.5186461289
90255,1044574290,71157,14679.85286057591
90260,727561118,33338,21823.778211050452
90262,1040608340,67099,15508.552139376146
90263,1124498,1972,570.2322515212982
90265,1977599512,15186,130225.17529303305
90266,6121218632,35506,172399.55590604406
90270,372575767,25113,14835.97208617051
90272,6614439622,22849,289484.86244474596
90274,4382557986,25307,173175.72157900975
90275,3488437048,42452,82173.67963817959
90277,2767579980,37856,73108.09330092985
90278,2509958147,42188,59494.59910401062
90280,1592081013,92678,17178.62937266665
90290,481086657,6640,72452.80978915663
90291,2111731600,28442,74246.94465930665
90292,2374793156,27681,85791.45103139337
90293,877933287,12633,69495.2336737117
90301,126376517,36270,3484.326357871519
90302,624913409,29264,21354.34011071624
90303,426903512,24490,17431.748142098815
90304,402274120,26058,15437.643717860157
90305,433732605,15367,28224.936877724995
90401,1005042140,8167,123061.36157707848
90402,3050959631,12295,248146.37096380643
90403,2239674178,25278,88601.7160376612
90404,1055961055,21995,48009.14094112298
90405,2404341081,27966,85973.72098262176
90501,1355670575,43990,30817.698908842918
90502,529642685,18977,27909.716235442906
90503,2105753419,45386,46396.541202132816
90504,1205157724,32503,37078.35350583023
90505,1916274292,36643,52295.78069481211
90601,1063773596,32625,32606.087233716476
90602,652171331,25521,25554.301594765097
90603,840466033,21174,39693.30466609993
